Country,Period,Site,Habitat.EUNIS,Time (s),Distance (m)
FR,A,FR_V02,Intensive.unmixed.crops,6800,944.4444445
FR,A,FR_V02,semi.natural.grass,400,55.55555556
FR,A,FR_V03,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,6702,930.8333332
FR,A,FR_V03,semi.natural.grass,344,47.77777778
FR,A,FR_V03,Temporary.running.waters,154,21.38888889
FR,A,FR_V08,Coppice.and.early.stage.plantations,800,111.1111111
FR,A,FR_V08,Intensive.unmixed.crops,5458,758.0555556
FR,A,FR_V08,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,496,68.88888889
FR,A,FR_V08,semi.natural.grass,260,36.11111111
FR,A,FR_V08,Temperate.thickets.and.scrub,186,25.83333333
FR,A,FR_V09,Intensive.unmixed.crops,6485,900.6944445
FR,A,FR_V09,Low.and.medium.altitude.hay.meadows,360,50
FR,A,FR_V09,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,235,32.63888889
FR,A,FR_V09,Species.rich.hedgerows.of.native.species,120,16.66666667
FR,A,FR_V13,Coppice.and.early.stage.plantations,120,16.66666667
FR,A,FR_V13,Intensive.unmixed.crops,4860,675
FR,A,FR_V13,Low.and.medium.altitude.hay.meadows,1140,158.3333333
FR,A,FR_V13,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,580,80.55555556
FR,A,FR_V13,semi.natural.grass,500,69.44444444
FR,A,FR_V15,Intensive.unmixed.crops,4616,641.1111112
FR,A,FR_V15,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,1293,179.5833333
FR,A,FR_V15,semi.natural.grass,1041,144.5833333
FR,A,FR_V15,Temperate.thickets.and.scrub,250,34.72222222
FR,A,FR_V16,Bare.tilled.fallow.or.recently.abandoned.arable.land,1630,226.3888888
FR,A,FR_V16,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,5570,773.6111112
FR,A,FR_V18,Permanent.non.tidal.smooth.flowing.watercourses,1800,250
FR,A,FR_V18,semi.natural.grass,5400,750
FR,A,FR_VAU,Highly.artificial.broadleaved.deciduous.forestry.plantations,525,72.86606523
FR,A,FR_VAU,Low.and.medium.altitude.hay.meadows,1800,249.8265094
FR,A,FR_VAU,Park.lawns,1005,139.4864677
FR,A,FR_VAU,Permanent.non.tidal.smooth.flowing.watercourses,750,104.0943789
FR,A,FR_VAU,Small.scale.ornamental.and.domestic.garden.areas,3125,433.7265788
FR,A,FR_VDI,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,225,31.25
FR,A,FR_VDI,Park.lawns,5220,725
FR,A,FR_VDI,Small.scale.ornamental.and.domestic.garden.areas,1755,243.75
FR,A,FR_VNU,Bare.tilled.fallow.or.recently.abandoned.arable.land,798,110.8333333
FR,A,FR_VNU,Park.lawns,5512,765.5555556
FR,A,FR_VNU,Small.scale.ornamental.and.domestic.garden.areas,890,123.6111111
FR,A,FR_VQU,Park.lawns,4810,668.0555556
FR,A,FR_VQU,Pavements.and.recreation.areas,480,66.66666667
FR,A,FR_VQU,Small.scale.ornamental.and.domestic.garden.areas,1910,265.2777778
FR,B,FR_V02,Intensive.unmixed.crops,7200,1000
FR,B,FR_V03,Intensive.unmixed.crops,4546,631.388889
FR,B,FR_V03,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,2504,347.7777778
FR,B,FR_V03,semi.natural.grass,150,20.83333333
FR,B,FR_V08,Coppice.and.early.stage.plantations,1958,271.9444444
FR,B,FR_V08,Highly.managed.hedgerows.of.native.species,491,68.19444444
FR,B,FR_V08,Low.and.medium.altitude.hay.meadows,481,66.80555556
FR,B,FR_V08,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,2518,349.7222223
FR,B,FR_V08,Permanent.non.tidal.smooth.flowing.watercourses,400,55.55555556
FR,B,FR_V08,semi.natural.grass,1352,187.7777778
FR,B,FR_V09,Highly.managed.hedgerows.of.native.species,81,11.25468945
FR,B,FR_V09,Intensive.unmixed.crops,6546,909.545644
FR,B,FR_V09,Low.and.medium.altitude.hay.meadows,405,56.27344727
FR,B,FR_V09,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,165,22.92621926
FR,B,FR_V13,Highly.artificial.broadleaved.deciduous.forestry.plantations,922,128.0555556
FR,B,FR_V13,Highly.managed.hedgerows.of.native.species,544,75.55555556
FR,B,FR_V13,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,3946,548.0555556
FR,B,FR_V13,semi.natural.grass,1788,248.3333333
FR,B,FR_V15,Highly.artificial.broadleaved.deciduous.forestry.plantations,558,77.9765232
FR,B,FR_V15,Highly.managed.hedgerows.of.native.species,84,11.73840134
FR,B,FR_V15,Intensive.unmixed.crops,4993,697.7361654
FR,B,FR_V15,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,621,86.7803242
FR,B,FR_V15,semi.natural.grass,679,94.88541084
FR,B,FR_V15,Temperate.thickets.and.scrub,221,30.88317496
FR,B,FR_V16,Bare.tilled.fallow.or.recently.abandoned.arable.land,1108,153.8888889
FR,B,FR_V16,Highly.artificial.broadleaved.deciduous.forestry.plantations,2332,323.8888889
FR,B,FR_V16,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,3760,522.2222222
FR,B,FR_V18,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,1955,271.9810796
FR,B,FR_V18,semi.natural.grass,5233,728.0189204
FR,B,FR_VAU,Highly.artificial.broadleaved.deciduous.forestry.plantations,526,73.05555556
FR,B,FR_VAU,Low.and.medium.altitude.hay.meadows,1824,253.3333334
FR,B,FR_VAU,Park.lawns,1020,141.6666667
FR,B,FR_VAU,Permanent.non.tidal.smooth.flowing.watercourses,590,81.94444444
FR,B,FR_VAU,Small.scale.ornamental.and.domestic.garden.areas,3240,450
FR,B,FR_VDI,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,418,58.05555556
FR,B,FR_VDI,Park.lawns,4980,691.6666668
FR,B,FR_VDI,Small.scale.ornamental.and.domestic.garden.areas,1802,250.2777778
FR,B,FR_VNU,Bare.tilled.fallow.or.recently.abandoned.arable.land,1200,166.6666667
FR,B,FR_VNU,Highly.artificial.broadleaved.deciduous.forestry.plantations,705,97.91666667
FR,B,FR_VNU,Park.lawns,4102,569.7222222
FR,B,FR_VNU,Small.scale.ornamental.and.domestic.garden.areas,638,88.61111111
FR,B,FR_VNU,Vineyards,555,77.08333333
FR,B,FR_VQU,Park.lawns,4800,667.5938805
FR,B,FR_VQU,Pavements.and.recreation.areas,480,66.75938804
FR,B,FR_VQU,Small.scale.ornamental.and.domestic.garden.areas,1910,265.6467316
FR,C,FR_V02,Intensive.unmixed.crops,7200,1000
FR,C,FR_V03,Intensive.unmixed.crops,4248,590.0000001
FR,C,FR_V03,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,2488,345.5555555
FR,C,FR_V03,semi.natural.grass,132,18.33333333
FR,C,FR_V03,Temporary.running.waters,332,46.11111111
FR,C,FR_V08,Coppice.and.early.stage.plantations,892,126.1847503
FR,C,FR_V08,Highly.managed.hedgerows.of.native.species,134,18.95600509
FR,C,FR_V08,Intensive.unmixed.crops,5250,742.679304
FR,C,FR_V08,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,450,63.65822606
FR,C,FR_V08,Permanent.non.tidal.smooth.flowing.watercourses,108,15.27797425
FR,C,FR_V08,semi.natural.grass,235,33.24374027
FR,C,FR_V09,Highly.managed.hedgerows.of.native.species,88,12.22222222
FR,C,FR_V09,Intensive.unmixed.crops,6391,887.6388888
FR,C,FR_V09,Low.and.medium.altitude.hay.meadows,396,55
FR,C,FR_V09,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,160,22.22222222
FR,C,FR_V09,semi.natural.grass,165,22.91666667
FR,C,FR_V13,Highly.artificial.broadleaved.deciduous.forestry.plantations,183,25.12355848
FR,C,FR_V13,Intensive.unmixed.crops,6747,926.2767711
FR,C,FR_V13,semi.natural.grass,354,48.59967051
FR,C,FR_V15,Highly.artificial.broadleaved.deciduous.forestry.plantations,520,71.94244604
FR,C,FR_V15,Highly.managed.hedgerows.of.native.species,80,11.06806862
FR,C,FR_V15,Intensive.unmixed.crops,4742,656.0597676
FR,C,FR_V15,Meso.and.eutrophic.Quercus.Carpinus.Fraxinus.Acer.Tilia.Ulmus.and.related.woodland,800,110.6806862
FR,C,FR_V15,Moist.or.wet.eutrophic.and.mesotrophic.grassland,744,102.9330382
FR,C,FR_V15,Permanent.non.tidal.smooth.flowing.watercourses,85,11.75982291
FR,C,FR_V15,semi.natural.grass,100,13.83508578
FR,C,FR_V15,Temperate.thickets.and.scrub,157,21.72108467
FR,C,FR_V16,Bare.tilled.fallow.or.recently.abandoned.arable.land,291,40.41666667
FR,C,FR_V16,Intensive.unmixed.crops,6909,959.5833333
FR,C,FR_V18,Intensive.unmixed.crops,6963,967.0833335
FR,C,FR_V18,Permanent.non.tidal.smooth.flowing.watercourses,139,19.30555556
FR,C,FR_V18,semi.natural.grass,98,13.61111111
FR,C,FR_VAU,Highly.artificial.broadleaved.deciduous.forestry.plantations,615,85.3573907
FR,C,FR_VAU,Low.and.medium.altitude.hay.meadows,1969,273.2824427
FR,C,FR_VAU,Park.lawns,873,121.165857
FR,C,FR_VAU,Permanent.non.tidal.smooth.flowing.watercourses,508,70.50659264
FR,C,FR_VAU,Small.scale.ornamental.and.domestic.garden.areas,3240,449.6877169
FR,C,FR_VDI,Park.lawns,5161,720.7093982
FR,C,FR_VDI,Small.scale.ornamental.and.domestic.garden.areas,2000,279.2906019
FR,C,FR_VNU,Bare.tilled.fallow.or.recently.abandoned.arable.land,1982,275.1631265
FR,C,FR_VNU,Highly.artificial.broadleaved.deciduous.forestry.plantations,598,83.02096349
FR,C,FR_VNU,Park.lawns,3653,507.1497987
FR,C,FR_VNU,Small.scale.ornamental.and.domestic.garden.areas,538,74.69110093
FR,C,FR_VNU,Vineyards,432,59.97501041
FR,C,FR_VQU,Park.lawns,4739,662.8899146
FR,C,FR_VQU,Pavements.and.recreation.areas,490,68.54105469
FR,C,FR_VQU,Small.scale.ornamental.and.domestic.garden.areas,1920,268.5690306
