Site_id,Plant_species,Flower_units,Latitude,Longitude,Site_area
Allersdorf,Cardaminopsis petraea,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Cardaminopsis petraea,0,49.72795,11.28425,21554.1
Bindlacher Berg,Cardaminopsis petraea,0,50.006549999999997,11.616,96624.5
Friesen,Cardaminopsis petraea,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Cardaminopsis petraea,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Cardaminopsis petraea,200,49.79063,11.42389,58085.5
Hohe Leite,Cardaminopsis petraea,0,49.80621,11.40085,23217.300999999999
Kainach,Cardaminopsis petraea,0,49.957859999999997,11.2906,2346.23
Kalkberg,Cardaminopsis petraea,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Cardaminopsis petraea,1000,50.021439999999998,11.20879,117772
Köttel,Cardaminopsis petraea,0,50.076549999999997,11.16835,43404.5
Leidingshof,Cardaminopsis petraea,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Cardaminopsis petraea,0,49.891959999999997,11.40354,38417
Oberailsfeld,Cardaminopsis petraea,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Cardaminopsis petraea,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Cardaminopsis petraea,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Cardaminopsis petraea,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Cardaminopsis petraea,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Cardaminopsis petraea,0,49.923929999999999,11.07592,13454.5
Wallersberg,Cardaminopsis petraea,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Cardaminopsis petraea,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Cardaminopsis petraea,0,49.71658,11.14601,4582.6201000000001
Wonsees,Cardaminopsis petraea,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Cerastium arvense,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Cerastium arvense,0,49.72795,11.28425,21554.1
Bindlacher Berg,Cerastium arvense,0,50.006549999999997,11.616,96624.5
Friesen,Cerastium arvense,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Cerastium arvense,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Cerastium arvense,0,49.79063,11.42389,58085.5
Hohe Leite,Cerastium arvense,0,49.80621,11.40085,23217.300999999999
Kainach,Cerastium arvense,0,49.957859999999997,11.2906,2346.23
Kalkberg,Cerastium arvense,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Cerastium arvense,0,50.021439999999998,11.20879,117772
Köttel,Cerastium arvense,0,50.076549999999997,11.16835,43404.5
Leidingshof,Cerastium arvense,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Cerastium arvense,0,49.891959999999997,11.40354,38417
Oberailsfeld,Cerastium arvense,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Cerastium arvense,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Cerastium arvense,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Cerastium arvense,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Cerastium arvense,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Cerastium arvense,300,49.923929999999999,11.07592,13454.5
Wallersberg,Cerastium arvense,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Cerastium arvense,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Cerastium arvense,0,49.71658,11.14601,4582.6201000000001
Wonsees,Cerastium arvense,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Corydalis lutea,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Corydalis lutea,0,49.72795,11.28425,21554.1
Bindlacher Berg,Corydalis lutea,0,50.006549999999997,11.616,96624.5
Friesen,Corydalis lutea,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Corydalis lutea,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Corydalis lutea,0,49.79063,11.42389,58085.5
Hohe Leite,Corydalis lutea,0,49.80621,11.40085,23217.300999999999
Kainach,Corydalis lutea,20,49.957859999999997,11.2906,2346.23
Kalkberg,Corydalis lutea,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Corydalis lutea,0,50.021439999999998,11.20879,117772
Köttel,Corydalis lutea,0,50.076549999999997,11.16835,43404.5
Leidingshof,Corydalis lutea,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Corydalis lutea,0,49.891959999999997,11.40354,38417
Oberailsfeld,Corydalis lutea,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Corydalis lutea,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Corydalis lutea,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Corydalis lutea,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Corydalis lutea,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Corydalis lutea,0,49.923929999999999,11.07592,13454.5
Wallersberg,Corydalis lutea,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Corydalis lutea,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Corydalis lutea,0,49.71658,11.14601,4582.6201000000001
Wonsees,Corydalis lutea,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Draba aizoides,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Draba aizoides,0,49.72795,11.28425,21554.1
Bindlacher Berg,Draba aizoides,0,50.006549999999997,11.616,96624.5
Friesen,Draba aizoides,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Draba aizoides,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Draba aizoides,200,49.79063,11.42389,58085.5
Hohe Leite,Draba aizoides,0,49.80621,11.40085,23217.300999999999
Kainach,Draba aizoides,0,49.957859999999997,11.2906,2346.23
Kalkberg,Draba aizoides,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Draba aizoides,0,50.021439999999998,11.20879,117772
Köttel,Draba aizoides,0,50.076549999999997,11.16835,43404.5
Leidingshof,Draba aizoides,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Draba aizoides,0,49.891959999999997,11.40354,38417
Oberailsfeld,Draba aizoides,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Draba aizoides,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Draba aizoides,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Draba aizoides,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Draba aizoides,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Draba aizoides,0,49.923929999999999,11.07592,13454.5
Wallersberg,Draba aizoides,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Draba aizoides,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Draba aizoides,0,49.71658,11.14601,4582.6201000000001
Wonsees,Draba aizoides,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Erophila verna,5000,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Erophila verna,0,49.72795,11.28425,21554.1
Bindlacher Berg,Erophila verna,5000,50.006549999999997,11.616,96624.5
Friesen,Erophila verna,200,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Erophila verna,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Erophila verna,0,49.79063,11.42389,58085.5
Hohe Leite,Erophila verna,1000,49.80621,11.40085,23217.300999999999
Kainach,Erophila verna,0,49.957859999999997,11.2906,2346.23
Kalkberg,Erophila verna,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Erophila verna,0,50.021439999999998,11.20879,117772
Köttel,Erophila verna,0,50.076549999999997,11.16835,43404.5
Leidingshof,Erophila verna,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Erophila verna,0,49.891959999999997,11.40354,38417
Oberailsfeld,Erophila verna,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Erophila verna,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Erophila verna,500,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Erophila verna,1000,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Erophila verna,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Erophila verna,0,49.923929999999999,11.07592,13454.5
Wallersberg,Erophila verna,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Erophila verna,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Erophila verna,0,49.71658,11.14601,4582.6201000000001
Wonsees,Erophila verna,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Euphorbia cyperissias,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Euphorbia cyperissias,0,49.72795,11.28425,21554.1
Bindlacher Berg,Euphorbia cyperissias,0,50.006549999999997,11.616,96624.5
Friesen,Euphorbia cyperissias,100,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Euphorbia cyperissias,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Euphorbia cyperissias,0,49.79063,11.42389,58085.5
Hohe Leite,Euphorbia cyperissias,0,49.80621,11.40085,23217.300999999999
Kainach,Euphorbia cyperissias,100,49.957859999999997,11.2906,2346.23
Kalkberg,Euphorbia cyperissias,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Euphorbia cyperissias,0,50.021439999999998,11.20879,117772
Köttel,Euphorbia cyperissias,1000,50.076549999999997,11.16835,43404.5
Leidingshof,Euphorbia cyperissias,500,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Euphorbia cyperissias,100,49.891959999999997,11.40354,38417
Oberailsfeld,Euphorbia cyperissias,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Euphorbia cyperissias,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Euphorbia cyperissias,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Euphorbia cyperissias,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Euphorbia cyperissias,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Euphorbia cyperissias,10000,49.923929999999999,11.07592,13454.5
Wallersberg,Euphorbia cyperissias,100,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Euphorbia cyperissias,1000,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Euphorbia cyperissias,0,49.71658,11.14601,4582.6201000000001
Wonsees,Euphorbia cyperissias,500,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Lamium purpureum,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Lamium purpureum,0,49.72795,11.28425,21554.1
Bindlacher Berg,Lamium purpureum,100,50.006549999999997,11.616,96624.5
Friesen,Lamium purpureum,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Lamium purpureum,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Lamium purpureum,0,49.79063,11.42389,58085.5
Hohe Leite,Lamium purpureum,0,49.80621,11.40085,23217.300999999999
Kainach,Lamium purpureum,0,49.957859999999997,11.2906,2346.23
Kalkberg,Lamium purpureum,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Lamium purpureum,0,50.021439999999998,11.20879,117772
Köttel,Lamium purpureum,0,50.076549999999997,11.16835,43404.5
Leidingshof,Lamium purpureum,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Lamium purpureum,0,49.891959999999997,11.40354,38417
Oberailsfeld,Lamium purpureum,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Lamium purpureum,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Lamium purpureum,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Lamium purpureum,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Lamium purpureum,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Lamium purpureum,0,49.923929999999999,11.07592,13454.5
Wallersberg,Lamium purpureum,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Lamium purpureum,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Lamium purpureum,0,49.71658,11.14601,4582.6201000000001
Wonsees,Lamium purpureum,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Malus domestica,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Malus domestica,0,49.72795,11.28425,21554.1
Bindlacher Berg,Malus domestica,0,50.006549999999997,11.616,96624.5
Friesen,Malus domestica,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Malus domestica,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Malus domestica,0,49.79063,11.42389,58085.5
Hohe Leite,Malus domestica,0,49.80621,11.40085,23217.300999999999
Kainach,Malus domestica,0,49.957859999999997,11.2906,2346.23
Kalkberg,Malus domestica,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Malus domestica,0,50.021439999999998,11.20879,117772
Köttel,Malus domestica,0,50.076549999999997,11.16835,43404.5
Leidingshof,Malus domestica,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Malus domestica,0,49.891959999999997,11.40354,38417
Oberailsfeld,Malus domestica,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Malus domestica,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Malus domestica,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Malus domestica,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Malus domestica,5000,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Malus domestica,0,49.923929999999999,11.07592,13454.5
Wallersberg,Malus domestica,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Malus domestica,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Malus domestica,20000,49.71658,11.14601,4582.6201000000001
Wonsees,Malus domestica,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Muscari spec.,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Muscari spec.,0,49.72795,11.28425,21554.1
Bindlacher Berg,Muscari spec.,0,50.006549999999997,11.616,96624.5
Friesen,Muscari spec.,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Muscari spec.,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Muscari spec.,0,49.79063,11.42389,58085.5
Hohe Leite,Muscari spec.,0,49.80621,11.40085,23217.300999999999
Kainach,Muscari spec.,0,49.957859999999997,11.2906,2346.23
Kalkberg,Muscari spec.,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Muscari spec.,0,50.021439999999998,11.20879,117772
Köttel,Muscari spec.,0,50.076549999999997,11.16835,43404.5
Leidingshof,Muscari spec.,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Muscari spec.,0,49.891959999999997,11.40354,38417
Oberailsfeld,Muscari spec.,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Muscari spec.,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Muscari spec.,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Muscari spec.,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Muscari spec.,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Muscari spec.,0,49.923929999999999,11.07592,13454.5
Wallersberg,Muscari spec.,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Muscari spec.,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Muscari spec.,20,49.71658,11.14601,4582.6201000000001
Wonsees,Muscari spec.,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Polygala chamaebuxus,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Polygala chamaebuxus,0,49.72795,11.28425,21554.1
Bindlacher Berg,Polygala chamaebuxus,0,50.006549999999997,11.616,96624.5
Friesen,Polygala chamaebuxus,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Polygala chamaebuxus,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Polygala chamaebuxus,200,49.79063,11.42389,58085.5
Hohe Leite,Polygala chamaebuxus,100,49.80621,11.40085,23217.300999999999
Kainach,Polygala chamaebuxus,0,49.957859999999997,11.2906,2346.23
Kalkberg,Polygala chamaebuxus,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Polygala chamaebuxus,0,50.021439999999998,11.20879,117772
Köttel,Polygala chamaebuxus,0,50.076549999999997,11.16835,43404.5
Leidingshof,Polygala chamaebuxus,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Polygala chamaebuxus,0,49.891959999999997,11.40354,38417
Oberailsfeld,Polygala chamaebuxus,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Polygala chamaebuxus,100,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Polygala chamaebuxus,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Polygala chamaebuxus,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Polygala chamaebuxus,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Polygala chamaebuxus,0,49.923929999999999,11.07592,13454.5
Wallersberg,Polygala chamaebuxus,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Polygala chamaebuxus,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Polygala chamaebuxus,0,49.71658,11.14601,4582.6201000000001
Wonsees,Polygala chamaebuxus,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Potentilla neumanniana,2000,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Potentilla neumanniana,2000,49.72795,11.28425,21554.1
Bindlacher Berg,Potentilla neumanniana,3000,50.006549999999997,11.616,96624.5
Friesen,Potentilla neumanniana,700,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Potentilla neumanniana,10000,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Potentilla neumanniana,15000,49.79063,11.42389,58085.5
Hohe Leite,Potentilla neumanniana,10000,49.80621,11.40085,23217.300999999999
Kainach,Potentilla neumanniana,500,49.957859999999997,11.2906,2346.23
Kalkberg,Potentilla neumanniana,5000,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Potentilla neumanniana,10000,50.021439999999998,11.20879,117772
Köttel,Potentilla neumanniana,30000,50.076549999999997,11.16835,43404.5
