network_ID,country,number_of_samples_per_transect,area_name,site,year,month,day,date,beginning_hour,beginning_minute,end_hour,end_minute,habitat_type,detailed_description_of_habitat_(Czech),lat,lon,local_solar_time_[hours],sampling_duration_[hours],day_of_the_year,alt,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
1,CZ,1,Šumava,Milíkov,2013,5,21,21/ 5/ 2013,11,9,12,25,meadow,"rozkvetlá louka s porostem do půl metru, místy mokrá, poblíž potok a rašeliništní smrčák",49.14912,13.69516,10.696344,1.2666667,141,752,60,88,31,6903,209,-71,280,147,13,147,-30,922,109,57,22,304,180,304,214
2,CZ,1,Břeclavsko,Milovická stráň,2013,5,29,29/ 5/ 2013,16,9,16,43,steppe,"suchá sprašová step na strmém svahu exponovaném na západ, vegetace spíš řidší, ale lokálně zahuštěná, okolo prosluněné lesy",48.84933,16.69192,15.546151,0.5666667,149,240,90,92,31,7290,249,-47,296,181,8,181,-6,587,80,30,36,225,93,225,96
3,CZ,1,Krkonoše,Janské Lázně,2013,6,9,9/ 6/ 2013,9,0,10,0,alpine_grassland,"dlouho nesečený horní okraj sjezdovky, variabilita ve výšce i hustotě porostu (ale menší než u 2)",50.63241,15.79815,8.553210,1.0000000,160,630,57,76,27,7058,197,-79,276,142,-27,142,-40,734,97,37,36,283,116,283,120
4,CZ,1,Praha,Cikánka,2013,6,9,9/ 6/ 2013,15,28,16,0,steppe,"kavilová step s mnoha květy v podrostu, variabilní hustota vegetace, podrost nízký, nad tím místy porost kavilu",49.99947,14.32074,14.688049,0.5333333,160,308,85,91,32,7020,240,-44,284,174,-6,174,-6,511,73,20,46,212,68,212,68
5,CZ,1,Podyjí,Havranické vřesoviště,2013,6,29,29/ 6/ 2013,11,25,12,20,steppe,"suché výslunné vřesoviště s nízkou vegetací, jen místy hustší porost chráněný keřem",48.81007,15.99597,10.941398,0.9166667,180,323,86,93,31,7128,243,-48,291,176,6,176,-7,621,83,31,35,236,101,236,103
6,CZ,1,Podyjí,Louka pod Šobesem,2013,6,30,30/ 6/ 2013,11,30,12,25,meadow,"vzrostlá louka, vegetace místy přes metr, na většině plochy však nižší, okolo lesy a řeka, za lesem vinice",48.81221,15.97813,11.023542,0.9166667,181,275,89,93,31,7176,247,-46,293,179,9,179,-5,607,81,30,35,231,98,231,100
7,CZ,1,Podyjí,Šobes,2013,6,30,30/ 6/ 2013,14,20,15,23,steppe,"výslunná stráň nad ovocným sadem a vinicemi, většinou nižší a řidší vegetace, poblíž řídká doubrava",48.81767,15.97645,13.923430,1.0500000,181,294,90,94,32,7199,248,-45,293,181,10,181,-4,601,81,29,36,230,96,230,97
8,AT,1,Podyjí,Retzbach,2013,7,1,1/ 7/ 2013,14,30,15,55,field_margin,"remízek mezi vinicemi, nízký porost, okolo členitá zemědělská krajina",48.78565,15.96398,14.272599,1.4166667,182,322,86,93,31,7126,243,-48,291,176,7,176,-7,624,83,31,35,237,102,237,103
9,CZ,1,Velkomeziříčsko,Fajtův kopec,2013,7,5,5/ 7/ 2013,15,43,16,30,meadow,"středně hustě porostlá louka s porostem do půl metru, mezi polem a zahrádkářskou osadou",49.35696,16.03077,15.177051,0.7833333,186,483,74,86,30,7011,224,-58,282,161,-6,161,-19,632,87,31,39,251,97,251,99
10,CZ,1,Velkomeziříčsko,Křižanov,2013,7,7,7/ 7/ 2013,13,35,14,10,ruderal,"hodně hustá tráva, variabilní výška, spíš vysoká, eutrofní, u železnice a hnusopolí",49.39496,16.07815,12.946877,0.5833333,188,549,70,85,30,6962,218,-61,279,157,-9,157,-22,651,90,32,39,258,100,258,103
11,CZ,1,Železnohorsko,Běstvina,2013,7,9,9/ 7/ 2013,9,58,10,49,meadow,"rozkvetlá louka s porostem do půl metru, mezi poli a přehradou",49.83066,15.57356,9.429904,0.8500000,190,330,81,87,30,7106,233,-53,286,170,0,170,-13,586,83,26,42,238,85,238,85
12,CZ,1,Praha,Petřín,2013,7,17,17/ 7/ 2013,10,20,11,10,park,"stráň nad ovocným sadem, střídavě i vyšší a hustší vegetace, hned u lesa",50.08348,14.39766,9.709844,0.8333333,198,262,87,90,31,7035,242,-41,283,177,-3,177,-3,499,72,19,47,209,65,209,65
13,CZ,1,Velkomeziříčsko,Nesměř,2013,7,21,21/ 7/ 2013,16,19,17,0,meadow,"louka na opuštěném poli, zapojený trávník",49.32052,16.02606,15.726737,0.6833333,202,446,76,88,31,7026,227,-56,283,164,-4,164,-17,622,86,30,40,247,94,247,96
14,CZ,3,Železnohorsko,K Handrkovu,2013,8,18,18/ 8/ 2013,10,4,11,5,meadow,podmáčená oligotrofní louka se sítinami,49.84671,15.14853,9.584902,1.0166667,230,530,71,84,30,6836,218,-57,275,157,-7,157,-19,628,87,30,39,250,96,250,96
15,CZ,3,Železnohorsko,K Handrkovu,2013,8,18,18/ 8/ 2013,11,14,11,55,meadow,podmáčená oligotrofní louka se sítinami,49.84671,15.14853,10.584902,0.6833333,230,530,71,84,30,6836,218,-57,275,157,-7,157,-19,628,87,30,39,250,96,250,96
16,CZ,1,Poohří,Ostrov nad Ohří,2013,8,23,23/ 8/ 2013,15,28,15,53,meadow,obyčejná louka,50.30935,12.96624,14.539416,0.4166667,235,432,71,79,29,6808,217,-49,266,158,-8,158,-17,618,80,34,29,224,109,224,118
17,CZ,1,Břeclavsko,Pouzdřany,2013,8,25,25/ 8/ 2013,10,29,11,14,steppe,"vysoký porost, částečně vyschlý",48.94395,16.64135,9.967757,0.7500000,237,248,87,91,31,7246,244,-49,293,177,5,177,-9,578,80,29,37,224,89,224,93
18,CZ,1,Břeclavsko,Velké Pavlovice,2013,8,27,27/ 8/ 2013,10,26,10,42,ruderal,"ruderální loučka za nádražím, celkem nízký porost",48.88727,16.82296,9.688197,0.2666667,239,173,94,93,31,7352,253,-46,299,185,10,185,-4,575,79,28,38,224,88,224,92
19,UA,1,západní Ukrajina (Lviv),Dubrovytsya,2013,9,4,4/ 9/ 2013,9,50,10,35,meadow,louka s teplomilnou až polostepní vegetací,49.980654,23.798286,8.794886,0.7500000,247,340,72,78,26,7663,226,-66,292,154,-19,167,-29,689,94,35,35,261,112,259,118
20,UA,1,severní Ukrajina (Novohrad-Volyns'kyi),sad u Velyka Derazhnya,2013,9,5,5/ 9/ 2013,7,20,7,46,orchard+pasture,"pastvina krav a jablečný sad v jednom, plno kravích hoven",50.593488,27.257947,6.367196,0.4333333,248,211,72,85,25,8716,240,-87,327,179,-35,179,-43,671,98,31,39,265,102,265,117
21,UA,1,střední Ukrajina (Mykolaiv),Voznesens´k,2013,9,6,6/ 9/ 2013,9,15,9,50,steppe,"ruderální stráň podél vyschlého koryta, u vesnice, pase se tu koza",47.548711,31.358959,8.632264,0.5833333,249,21,94,79,23,9256,273,-64,337,194,26,213,-23,470,58,25,24,159,99,154,112
22,UA,1,střední Ukrajina (Mykolaiv),step u Antonivka,2013,9,6,6/ 9/ 2013,14,0,14,20,steppe,kontinentální step,47.543037,32.082019,13.305468,0.3333333,249,57,91,83,24,9372,275,-70,345,192,22,211,-28,469,58,25,24,159,97,155,110
23,UA,1,Krym,hory nad Pryvitne,2013,9,8,8/ 9/ 2013,11,35,11,50,alpine_grassland,"suchá horská louka, plno mm dipter, na zemi lišejníky, lehce ze svahu",44.875412,34.681869,11.020458,0.2500000,251,336,104,85,28,7627,266,-33,299,30,162,203,10,570,70,36,19,181,121,140,177
24,UA,1,Krym,jezírko u Vesele,2013,9,8,8/ 9/ 2013,15,5,15,20,ruderal,"břeh jezírka, stepní stráň skloněná k jihu",44.868994,34.900836,14.535056,0.2500000,251,237,109,82,27,7723,271,-28,299,35,93,210,14,537,65,34,18,167,119,133,163
25,UA,1,Krym,kopec u Cheremysivka,2013,9,9,9/ 9/ 2013,9,35,10,5,steppe,"kopeček nad hřbitovem, suchá, ale celkem hustá vegetace s lišejníky v podrostu",45.014718,34.740282,9.149352,0.5000000,252,328,104,85,28,7729,268,-34,302,29,161,205,9,549,66,34,18,171,118,138,167
26,UA,1,Delta Dněpru (Kherson),Alešovské písky (Olešské písky),2013,9,10,10/ 9/ 2013,9,31,9,51,sand_dune,písčitý náplav Dněpru pokryt variabilně hustou a variabilně vysokou vegetací,46.591845,32.880621,8.875375,0.3333333,253,13,101,90,26,8884,283,-56,339,195,-6,215,-11,424,50,25,19,134,85,130,96
27,UA,1,střední Ukrajina (Mykolaiv),kopec nad Myhiya,2013,9,10,10/ 9/ 2013,14,15,14,25,steppe,"skalní step, takový trochu vyprahlejší Fajťák",48.02803,30.965381,13.397692,0.1666667,253,63,87,80,23,9256,267,-71,338,188,90,206,-31,494,65,28,26,174,100,167,116
28,UA,1,Z Ukrajina (Vinnytsia),Chechelivka,2013,9,11,11/ 9/ 2013,7,40,7,50,meadow,"vojtěško-jetelové pole s tou invazní asteráckou, co má děda na zahradě",48.800083,29.519679,6.717979,0.1666667,254,266,73,84,25,8747,242,-85,327,168,-33,181,-41,624,90,33,33,234,117,233,127
29,UA,1,Z Ukrajina (Khmelnytskyi),Terlivka,2013,9,11,11/ 9/ 2013,12,35,12,45,steppe,stráň mezi lesem a vesnicí,49.35722,27.57791,11.505194,0.1666667,254,292,74,87,26,8627,239,-87,326,166,-31,179,-41,660,101,31,42,269,102,269,114
30,UA,1,Z Ukrajina (Cherntvtsi),Ropcha,2013,9,12,12/ 9/ 2013,10,40,11,5,pasture,"kraví pastvina, hustý nízký trávník",48.105157,25.780862,9.593724,0.4166667,255,339,80,93,29,8160,238,-82,320,166,-17,179,-30,651,104,29,48,283,91,270,93
31,UA,1,Z Ukrajina (Cherntvtsi),Storozhynets,2013,9,12,12/ 9/ 2013,12,7,12,35,ruderal,"pískovna, variabilní vegetace raných sukcesních stadií",48.182117,25.713055,11.064204,0.4666667,255,381,78,92,28,8111,235,-83,318,163,-19,176,-32,664,105,30,47,287,95,274,96
32,UA,1,Zakarpatská Rus,Mukacheve,2013,9,13,13/ 9/ 2013,11,13,11,50,pasture,obyčejný nížký a řídký trávník s mnoha kvetoucími rostlinami,48.479543,22.647907,10.034860,0.6166667,256,126,96,93,29,7847,256,-60,316,177,4,191,-11,689,87,40,26,236,128,236,147
33,CZ,1,Třeboňsko,Ruda,2014,4,26,26/ 4/ 2014,14,5,14,37,meadow,"louka se zatím nižší vegetací, dominuje pampeliška a řeřišnice",49.142364,14.708595,13.330573,0.5333333,116,415,81,94,32,7028,237,-51,288,170,2,170,-11,686,93,37,36,265,116,265,118
34,CZ,1,Jeseníky,Rejvíz,2014,5,4,4/ 5/ 2014,9,16,9,40,meadow,"louka, zatím asi moc nesekaná, ale vegetace ještě nebyla příliš vzrostlá",50.230892,17.308918,8.620595,0.4000000,124,758,53,80,30,6627,192,-71,263,136,-24,136,-34,756,105,35,40,306,112,306,126
35,CZ,1,Praha,Bílá Hora,2014,5,19,19/ 5/ 2014,14,52,15,26,ruderal,louka u městské silnice,50.073012,14.321119,14.104741,0.5666667,139,358,79,89,31,7019,233,-50,283,168,-12,168,-12,518,73,21,45,212,69,212,69
36,CZ,1,Příbram,motýlí rezervace,2014,5,20,20/ 5/ 2014,13,5,13,31,forest_edge,"heterogenní - část bývalý les s malými olšemi, část podmáčená louka s loužemi a nízkou vegetací, část křoví",49.696117,14.033687,12.235579,0.4333333,140,543,70,87,31,6920,219,-58,277,157,-9,157,-20,664,87,34,33,248,115,248,118
37,RS,1,Suva Planina,Sopotnica,2014,6,5,5/ 6/ 2014,18,0,18,13,steppe,skalní step s místy hustší vegetací a místy holou půdou,43.164735,22.135873,17.584058,0.2166667,156,584,96,102,33,7140,258,-45,303,167,17,184,1,616,72,41,18,192,129,164,140
38,MK,1,Šar Planina,Popova Šapka,2014,6,8,8/ 6/ 2014,11,10,12,25,meadow,"rozkvetlá louka mezi lesy, celkem vysoká a hustá vegetace, asi občas paseno",42.012483,20.915495,11.186033,1.2500000,159,1433,62,93,33,6524,213,-68,281,-8,141,143,-23,930,108,54,21,294,171,175,261
39,MK,1,Ohrid,kemp,2014,6,11,11/ 6/ 2014,8,5,8,55,steppe,"stepní až makhiová stráň s šutry, nízkou vegetací a nizoučkou (možná pasenou) kosodřevinou",40.967237,20.814043,7.887603,0.8333333,162,1278,79,100,35,6364,236,-49,285,45,161,161,-2,899,115,45,28,305,140,140,260
40,HU,1,Budapešť,Óbarok,2014,6,15,15/ 6/ 2014,9,35,9,55,ruderal,louka s vysokou trávou,47.503317,18.55138,8.986759,0.3333333,166,194,105,92,29,7687,266,-41,307,184,19,199,2,560,66,32,22,176,105,174,119
41,CZ,1,Český Kras,Koněprusy,2014,6,26,26/ 6/ 2014,8,23,8,45,steppe,zarostlejší step s hodně kvetoucími kytkami,49.91562,14.071976,7.504798,0.3666667,177,415,75,87,31,7008,226,-53,279,163,-5,163,-17,578,79,27,39,226,91,226,91
42,CZ,1,Beskydy,Horní Bečva,2014,7,14,14/ 7/ 2014,11,14,12,2,meadow,"ovsíková louka, dosud neposečená, mezi ovsíkem dost kvetoucích třezalek i jiných kytek",49.430666,18.325471,10.855031,0.8000000,195,673,62,87,30,7116,212,-76,288,150,-21,150,-33,898,129,44,38,349,138,349,153
43,CZ,1,Krkonoše,Erlenbachova bouda,2014,7,18,18/ 7/ 2014,17,10,18,2,meadow,zarostlá horská podmáčená louka,50.760004,15.632148,16.642143,0.8666667,199,1180,28,61,25,6314,148,-88,236,107,-47,107,-54,951,113,59,26,334,180,334,188
44,CZ,1,S Čechy,Plakánek,2014,7,19,19/ 7/ 2014,16,10,17,6,meadow,zarostlá louka,50.488197,15.134367,15.642291,0.9333333,200,300,79,83,29,7045,227,-52,279,167,-2,167,-15,566,77,26,38,221,85,221,87
45,CZ,1,Orlické hory,Nekoř,2014,8,6,6/ 8/ 2014,16,54,17,26,meadow,zarostlejší louka se zavřenou škardou,50.061041,16.537803,16.269187,0.5333333,218,456,70,84,30,6891,215,-61,276,155,-10,155,-22,620,89,26,46,262,83,262,85
46,BG,3,Pirin,Sinonica,2014,8,28,28/ 8/ 2014,13,0,14,0,alpine_grassland,kosodřevina a kytky na okraji cesty,41.742031,23.374014,12.058268,1.0000000,240,2176,22,88,33,6158,164,-96,260,-38,75,100,-55,757,79,32,23,227,122,171,222
47,BG,3,Pirin,Predel,2014,9,2,2/ 9/ 2014,12,15,13,0,alpine_grassland,louka s mnoha květinami a nízkou trávou,41.892167,23.33083,11.180389,0.7500000,245,1044,83,98,33,6974,241,-53,294,116,140,171,-8,573,64,32,20,174,110,145,140
48,CZ,3,Střední Čechy,Říčany,2014,9,27,27/ 9/ 2014,15,22,15,40,pasture,"louka, zřejmě se zde občas pase, trochu eutrofní, sem tam nějaký květ, na jednom místě krátká tráva a černohlávky",49.973116,14.666013,14.494401,0.3000000,270,379,81,88,31,6894,233,-45,278,169,-7,169,-7,546,78,23,44,225,76,225,76
49,HU,1,S Maďarsko,Ostřihom,2014,10,16,16/ 10/ 2014,13,45,14,48,meadow,rozkvetlá panonská louka či stepní stráň exponovaná k jihu,47.721524,18.783326,13.527222,1.0500000,289,201,104,92,29,7695,266,-42,308,184,18,198,1,577,69,33,22,183,107,180,121