synonym,accepted,comments,
Andrena albofasciata,Andrena ovatula,NA,
Andrena armata,Andrena fulva,NA,
Andrena carantonica,Andrena scotica,NA,
Andrena carbonaria,Andrena pilipes,NA,
Andrena erythrocnemis,Andrena griseobalteata,NA,
Andrena glabriventris,NA,NA,
Andrena gwynana,Andrena bicolor,NA,
Andrena hispania,Andrena morio,NA,
Andrena jacobi,Andrena scotica,NA,
Andrena sabulosa,Andrena scotica,NA,
Andrena saundersella,Andrena semilaevis,NA,
Andrena similis,NA,Found,
Andrena squalida,Andrena villipes,NA,
Andrena zuvandiana,NA,Found,
Anthidium byssinum,Trachusa byssina,NA,
Anthidium laterale,Icteranthidium laterale,NA,
Anthidium nanum,Pseudoanthidium nanum,NA,
Anthidium septemdentatum,Rhodanthidium septemdentatum,NA,
Anthidium sticticum,Rhodanthidium sticticum,NA,
Anthidium strigatum,Anthidiellum strigatum,NA,
Anthidium variegatum,NA,Not found,
Anthophora acervorum,Bombus subterraneus,NA,
Anthophora alfkenella,NA,Africa,
Anthophora arctica,NA,Not found,
Anthophora garrula,Amegilla garrula,NA,
Anthophora magnilabris,Amegilla savignyi,NA,
Anthophora nigrocincta,Anthophora canescens,NA,
Anthophora parietina,Anthophora plagiata,NA,
Anthophora procera,Anthophora canescens,NA,
Anthophora quadristrigata,Anthophora crassipes,NA,
Anthophora rubricrus,NA,Found,
Anthophora ruficornis,Amegilla camelorum,Not found,
Anthophora salviae,NA,Found,
Anthophora subterranea,Anthophora canescens,NA,
Anthophora tenella,Saropoda tenella,Not found,
Anthophora tridentella,NA,Found,
Archianthidium laticeps,Trachusa laticeps,NA,
Bombus agrorum,Bombus pascuorum,NA,
Bombus defector,NA,Found,
Bombus derhamellus,Bombus ruderarius,NA,
Bombus distinctus,Bombus bohemicus,NA,
Bombus equestris,Bombus veteranus,NA,
Bombus filchnerae,NA,Found,
Bombus hedini,NA,Found,
Bombus mastrucatus,Bombus wurflenii,NA,
Bombus maxillosus,Bombus barbutellus,NA,
Bombus mocsaryi,Bombus laesus,NA,
Bombus opulentus,NA,Found,
Bombus perezi,NA,Found,
Bombus pereziellus,Bombus muscorum,NA,
Bombus polaris,NA,Found Wrong distribution?,
Bombus rehbinderi,NA,Not found,
Bombus reinigiellus,NA,Found,
Bombus rufocinctus,NA,Found NordUS,
Bombus serrisquama,Bombus cullumanus,NA,
Bombus sicheli,NA,Found,
Bombus solstitialis,Bombus humilis,NA,
Bombus variabilis,NA,Found,
Bombus vorticosus,Bombus niveatus,NA,
Bombus wurfleini,NA,Found,
Ceratina neocallosa,NA,Found,
Coelioxys afra,Coelioxys afer,NA,
Dufourea vulgaris,Dufourea minuta,NA,
Episyrphus auricollis,Meliscaeva auricollis,NA,
Episyrphus cinctellus,Meliscaeva cinctellus,NA,
Eriozona erratica,Megasyrphus erraticus,NA,
Eristalis hortorum,Eristalis tenax,NA,
Eristalis interrupta,NA,Found,
Eristalis interruptus,Eristalis nemorum,NA,
Eristalis lineata,Cheilosia morio,NA,
Eristalis pseudorupium,Eristalis obscura,NA,
Eucera alternans,Eucera rufa,NA,
Eucera bolivari,Eucera confinis,NA,
Eucera chrysopyga,Eucera pollinosa,NA,
Eucera decolorata,NA,Found,
Eucera ephippia,Eucera hispana,NA,
Eucera eucnemidea,NA,Found,
Eucera hispaliensis,Eucera longicornis,NA,
Eucera hispanica,Eucera hispana,NA,
Eucera parvula,Eucera vulpes,NA,
Eucera pulveracea,Eucera taurica,NA,
Eucera rufa,NA,Found,
Eucera tuberculata,NA,Found,
Eupeodes aberrantis,Lapposyrphus lapponicus,NA,
Eupeodes lapponicus,Lapposyrphus lapponicu,NA,
Eupeodes strigatus,Eumerus strigatus,NA,
Flavipanurgus fuzetus,NA,Found,
Halictus cephalicus,Seladonia cephalica,NA,
Halictus confusus,Seladonia confusa,NA,
Halictus eurygnathus,Halictus compressus,NA,
Halictus gemmeus,Seladonia gemmea,NA,
Halictus phryganicus,Seladonia phryganica,NA,
Halictus pollinosus,Seladonia pollinosa,NA,
Halictus smaragdulus,Seladonia smaragdula,NA,
Halictus subauratus,Seladonia subaurata,NA,
Halictus tumulorum,Seladonia tumulorum,NA,
Hoplitis crenulata,Hoplitis annulata,NA,
Hoplitis scutellaris,Osmia scrutellaris,NA,
Lasioglossum tridivisus,Halictus tridivisus,NA,
Osmia acuticornis,Hoplitis acuticornis,NA,
Osmia adunca,Hoplitis adunca,NA,
Osmia anthocopoides,Hoplitis anthocopoides,NA,
Osmia campanularum,Hoplitis campanularis,NA,
Osmia claviventris,Hoplitis claviventris,NA,
Osmia fulviventris,Osmia niveata,NA,
Osmia leucomelana,Hoplitis leucomelana,NA,
Osmia rapunculi,Chelostoma rapunculi,NA,
Osmia rufa,Osmia bicornis,NA,
Platycheirus cyaneus,Platycheirus albimanus,NA,
Platycheirus rosarum,Pyrophaena rosarum,NA,
Polyommatus coridon,Lysandra coridon,NA,
Polyommatus semiargus,Cyaniris semiargus,NA,
Amegilla byssina,NA,Found,
Amegilla camelorum,NA,Found,