Pollinator,Families_visited,Genera_visited,Potential_lecticity,Described_lecticity,Strict_lecticity,Fam_specialised_on,Spp_specialised_on,References
Aglais io,6,8,Polylectic,Polylectic,Polylectic,,,https://www.researchgate.net/publication/289034062_The_importance_of_proximate_nectar_and_mate_location_resources_for_the_generalist_butterfly_Aglais_io_Linnaeus_1758_Lepidoptera_Nymphalidae
Aglais urticae,1,1,Oligolectic,Polylectic,Polylectic,,,https://irishnaturalist.com/butterflies/small-tortoiseshell-aglais-urticae/
Ammophila sabulosa,1,1,Oligolectic,Polylectic,Polylectic,,,From_images
Ancistrocerus claripennis,1,1,Oligolectic,Polylectic,Polylectic,,,From_images
Ancistrocerus gazella,2,2,Polylectic,Polylectic,Polylectic,,,From_images
Ancistrocerus nigricornis,1,1,Oligolectic,Polylectic,Polylectic,,,From_images
Andrena bicolor,7,10,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-abico.htm
Andrena chrysopus,1,1,Oligolectic,Oligolectic,Oligolectic,Asparagaceae,Asparagus officinalis,https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515541-190818/andrena-chrysopus-.html
Andrena curvungula,1,1,Oligolectic,Oligolectic,Oligolectic,Campanulaceae,Campanula sp,https://www.wildbienen.de/eb-acurv.htm
Andrena flavipes,13,24,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-aflav.htm
Andrena fulvago,1,1,Oligolectic,Oligolectic,Oligolectic,Asteraceae,NA,https://www.wildbienen.de/eb-afago.htm
Andrena gelriae,2,2,Polylectic,Oligolectic,Oligolectic,Fabaceae,,https://www.wildbienen.info/bluetenbesuch/oligolektische_arten.php
Andrena gravida,3,5,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-agrav.htm
Andrena hattorfiana,2,2,Polylectic,Oligolectic,Oligolectic,Dipsacaceae,,https://www.wildbienen.de/eb-ahatt.htm
Andrena labiata,2,2,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-alabi.htm
Andrena minutula,5,6,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-aminu.htm
Andrena minutuloides,3,5,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-aminu.htm
Andrena nitida,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-aniti.htm
Andrena pilipes,3,3,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-apili.htm
Andrena strohmella,5,5,Polylectic,Polylectic,Polylectic,,,https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515639-190818/andrena-strohmella-.html
Anthaxia nitidula,1,1,Oligolectic,Polylectic,Polylectic,,,https://en.wikipedia.org/wiki/Anthaxia_nitidula
Anthidium manicatum,9,25,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-amani.htm
Anthidium oblongatum,4,4,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-aoblo.htm
Anthocharis cardamines,4,5,Polylectic,Polylectic,Polylectic,,,https://irishnaturalist.com/butterflies/orange-tip-anthocharis-cardamines/
Anthomyia procellaris,1,1,Oligolectic,Polylectic,Polylectic,,,From_data and https://www.commanster.eu/Commanster/Insects/Flies/SpFlies/Anthomyia.procellaris.html
Anthophora aestivalis,6,9,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-aaest.htm
Anthophora furcata,1,1,Oligolectic,Oligolectic,Oligolectic,Lamiaceae,Stachys sylvatica,https://www.wildbienen.de/eb-afurc.htm
Anthophora plumipes,26,60,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-aplum.htm
Anthophora quadrimaculata,11,15,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-aquad.htm
Anthrenus scrophulariae,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Anthrenus verbasci,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Apis mellifera,49,162,Polylectic,Polylectic,Polylectic,,,From_data
Argynnis paphia,1,1,Oligolectic,Polylectic,Polylectic,,,https://species.biodiversityireland.ie/profile.php?taxonId=77219
Aricia agestis,1,1,Oligolectic,Polylectic,Polylectic,,,https://irishnaturalist.com/butterflies/brown-argus-aricia-agestis/
Autographa gamma,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.commanster.eu/Commanster/Insects/Moths/SpMoths/Autographa.gamma.html
Bellardia viarum,1,1,Oligolectic,Polylectic,Polylectic,,,https://tuprints.ulb.tu-darmstadt.de/id/eprint/5458
Bellardia vulgaris,2,2,Polylectic,Polylectic,Polylectic,,,https://tuprints.ulb.tu-darmstadt.de/id/eprint/5458
Bombus bohemicus,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus campestris,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus hortorum,8,17,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus hypnorum,10,19,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/b-hypnor.htm
Bombus lapidarius,23,57,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus lucorum,3,6,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus pascuorum,20,58,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus pratorum,12,20,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus rupestris,2,7,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus soroeensis,2,2,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus subterraneus,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus terrestris,28,78,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombus vestalis,9,24,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/huarten.htm
Bombylius discolor,8,8,Polylectic,Polylectic,Polylectic,,,From_data
Bombylius major,16,36,Polylectic,Polylectic,Polylectic,,,From_data
Bombylius venosus,7,10,Polylectic,Polylectic,Polylectic,,,From_data
Botanophila depressa,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Botanophila striolata,5,5,Polylectic,Polylectic,Polylectic,,,https://tuprints.ulb.tu-darmstadt.de/id/eprint/5458
Calliphora vicina,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Carpocoris fuscispinus,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Ceratina cyanea,4,4,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-ccyan.htm
Cerceris quadricincta,1,1,Oligolectic,Polylectic,Polylectic,,,From_data_genus_level
Cerceris quinquefasciata,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Cerceris rybyensis,10,17,Polylectic,Polylectic,Polylectic,,,From_data
Cetonia aurata,7,7,Polylectic,Polylectic,Polylectic,,,From_data
Chelostoma florisomne,1,1,Oligolectic,Oligolectic,Oligolectic,Ranunculaceae,Ranunculus sp,https://www.wildbienen.de/eb-cflor.htm
Chelostoma rapunculi,5,6,Polylectic,Oligolectic,Oligolectic,Campanulaceae,Campanula sp,https://www.wildbienen.de/eb-crapu.htm
Chrysogaster virescens,1,2,Oligolectic,Polylectic,Polylectic,,,From_data_genus_level
Coccinella septempunctata,8,15,Polylectic,Polylectic,Polylectic,,,From_data
Coelioxys afra,2,2,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-cafra.htm
Coelioxys aurolimbatus,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-cauro.htm
Coelioxys elongatus,3,3,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-celon.htm
Coelioxys rufescens,2,2,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-crufe.htm
Colletes daviesanus,4,8,Polylectic,Oligolectic,Polylectic,Asteraceae,,https://www.wildbienen.de/eb-cdavi.htm
Colletes hederae,2,2,Polylectic,Oligolectic,Polylectic,,,https://www.wildbienen.de/eb-chede.htm
Crossocerus podagricus,1,1,Oligolectic,Polylectic,Polylectic,,,From_data_genus_level
Cydalima perspectalis,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Cylindromyia brevicornis,3,5,Polylectic,Polylectic,Polylectic,,,From_data
Dalmannia marginata,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Dinetus pictus,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Dolichovespula saxonica,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Dryas iulia,1,1,Oligolectic,Polylectic,Polylectic,,,https://en.wikipedia.org/wiki/Dryas_iulia
Ectemnius lituratus,1,1,Oligolectic,Oligolectic,Oligolectic,Apiaceae,NA,From_data and https://bwars.com/wasp/crabronidae/crabroninae/ectemnius-lituratus
Entomophaga nigrohalterata,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Episyrphus balteatus,21,47,Polylectic,Polylectic,Polylectic,,,From_data
Eristalinus aeneus,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Eristalis pertinax,3,3,Polylectic,Polylectic,Polylectic,,,From_data
Eristalis tenax,4,8,Polylectic,Polylectic,Polylectic,,,From_data
Eucera nigrescens,8,14,Polylectic,Polylectic,Polylectic,,,From_data
Eupeodes corollae,17,27,Polylectic,Polylectic,Polylectic,,,From_data
Eurychaeta palpalis,3,3,Polylectic,Polylectic,Polylectic,,,From_data
Gonepteryx rhamni,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.commanster.eu/Commanster/Insects/Butterflies/WButterflies/Gonepteryx.rhamni.html
Graphomya maculata,1,2,Oligolectic,Polylectic,Polylectic,,,From_data_and_images
Graphosoma italicum,1,1,Oligolectic,Polylectic,Polylectic,,,From_data_and_images
Gymnomerus laevipes,2,3,Polylectic,Polylectic,Polylectic,,,From_data
Gymnosoma clavatum,1,2,Oligolectic,Polylectic,Polylectic,,,From_data
Gymnosoma nudifrons,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Halictus scabiosae,8,19,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-hscab.htm
Halictus subauratus,10,17,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-hsuba.htm
Halictus tumulorum,8,10,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-htumu.htm
Harmonia axyridis,2,2,Polylectic,Polylectic,Polylectic,,,https://doi.org/10.1007/978-1-4020-6939-0_13
Hebia flavipes,1,1,Oligolectic,NA,NA,,,
Hedychrum gerstaeckeri,1,1,Oligolectic,Polylectic,Polylectic,,,From_data and https://www.wildbienen.de/wbi-p941.htm
Hedychrum nobile,1,1,Oligolectic,Polylectic,Polylectic,,,From_data and https://www.wildbienen.de/wbi-p941.htm
Hemipenthes maura,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Hemipenthes morio,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Heriades truncorum,3,10,Polylectic,Polylectic,Polylectic,,,From_data
Holopyga ignicollis,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Hoplitis adunca,5,5,Polylectic,Polylectic,Polylectic,,,From_data
Hylaeus brevicornis,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Hylaeus communis,9,12,Polylectic,Polylectic,Polylectic,,,From_data
Hylaeus confusus,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Hylaeus gredleri,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Hylaeus hyalinatus,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/wbspeabc.htm
Hylaeus nigritus,5,7,Polylectic,Polylectic,Polylectic,,,From_data and https://www.wildbienen.de/wbspeabc.htm
Hylaeus punctatus,8,12,Polylectic,Polylectic,Polylectic,,,From_data
Hylaeus signatus,1,1,Oligolectic,Oligolectic,Oligolectic,Resedaceae,Reseda luteola,https://www.wildbienen.de/wbspeabc.htm
Hylaeus sinuatus,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515503-190818/hylaeus-sinuatus-.html
Hylaeus styriacus,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Issoria lathonia,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.commanster.eu/Commanster/Insects/Butterflies/SpButterflies/Issoria.lathonia.html
Lapposyrphus lapponicus,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Lasioglossum calceatum,4,5,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-lcalc.htm
Lasioglossum fulvicorne,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-lfulv.htm#01
Lasioglossum interruptum,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-lfulv.htm
Lasioglossum laticeps,11,16,Polylectic,Polylectic,Polylectic,,,https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515733-190818/lasioglossum-laticeps-.html
Lasioglossum leucozonium,3,3,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-lleuc.htm
Lasioglossum minutissimum,2,3,Polylectic,Polylectic,Polylectic,,,http://stechimmen-owl.de/sites/artinfos/Lasioglossum_minutissimum.html
Lasioglossum morio,11,16,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-lmori.htm
Lasioglossum nitidiusculum,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515750-190818/lasioglossum-nitidiusculum-.html
Lasioglossum nitidulum,5,5,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-lniti.htm
Lasioglossum pallens,2,3,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-lpall.htm
Lasioglossum pauxillum,7,8,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-lpaux.htm
Lasioglossum politum,11,16,Polylectic,Polylectic,Polylectic,,,https://www.naturspaziergang.de/Wildbienen/Halictinae/Lasioglossum_politum.htm
Lasioglossum pygmaeum,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515761-190818/lasioglossum-pygmaeum-.html; https://www.smagy.de/index.php?func=insect&task=showInsect&taskID=pygmaenschmalbiene
Lasioglossum villosulum,2,3,Polylectic,Polylectic,Polylectic,,,https://www.smagy.de/index.php?func=insect&task=showInsect&taskID=zottigschmalbiene
Leucophora personata,3,3,Polylectic,Polylectic,Polylectic,,,From_data
Litophasia hyalipennis,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Lucilia sericata,19,52,Polylectic,Polylectic,Polylectic,,,From_data
Lygaeus equestris,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Macroglossum stellatarum,4,4,Polylectic,Polylectic,Polylectic,,,From_data
Macropis fulvipes,1,1,Oligolectic,Oligolectic,Oligolectic,Primulaceae,Lysimachia sp,https://www.wildbienen.de/eb-mfulv.htm
Malachius bipustulatus,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Maniola jurtina,8,11,Polylectic,Polylectic,Polylectic,,,From_data
Megachile alpicola,1,1,Oligolectic,Polylectic,Polylectic,,,From_data and https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515904-190818/megachile-alpicola-.html
Megachile centuncularis,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Megachile circumcincta,2,2,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-mcirc.htm
Megachile ericetorum,4,9,Polylectic,Oligolectic,Polylectic,Fabaceae,,https://www.wildbienen.de/eb-meric.htm
Megachile lagopoda,3,7,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-mlago.htm
Megachile maritima,2,4,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-mmari.htm
Megachile pilidens,3,5,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-mpili.htm
Megachile rotundata,4,7,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-mrotu.htm
Megachile versicolor,2,2,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-mvers.htm
Megachile willughbiella,11,18,Polylectic,Polylectic,Polylectic,,,From_data
Melecta albifrons,4,5,Polylectic,Polylectic,Polylectic,,,From_data
Meliscaeva auricollis,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Melitta haemorrhoidalis,2,2,Polylectic,Oligolectic,Oligolectic,Campanulaceae,,https://www.wildbienen.de/eb-mhaem.htm
Melitta nigricans,2,2,Polylectic,Oligolectic,Oligolectic,Primulaceae,Lythrum salicaria,https://www.wildbienen.de/eb-mnigc.htm
Merodon equestris,3,3,Polylectic,Polylectic,Polylectic,,,From_data
Merziella longirostris,1,1,Oligolectic,NA,NA,,,
Microphthalma europaea,1,1,Oligolectic,NA,NA,,,
Miltogramma germari,1,1,Oligolectic,NA,NA,,,
Miltogramma punctata,2,5,Polylectic,Polylectic,Polylectic,,,From_data
Minettia longipennis,1,1,Oligolectic,NA,NA,,,From_data_genus_level
Myathropa florea,9,17,Polylectic,Polylectic,Polylectic,,,From_data
Myopa testacea,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Nomada bifasciata,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-nbifa.htm
Nomada fabriciana,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-nfabr.htm
Nomada flavoguttata,6,7,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-nflag.htm
Nomada fulvicornis,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-nfulv.htm
Nomada lathburiana,2,2,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-nlath.htm
Nomada zonata,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-nzona.htm
Nowickia ferox,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Nysson maculosus,1,1,Oligolectic,NA,NA,,,
Oedemera femorata,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Oedemera lurida,5,8,Polylectic,Polylectic,Polylectic,,,From_data
Oedemera podagrariae,1,2,Oligolectic,Polylectic,Polylectic,,,From_data
Osmia aurulenta,6,9,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-oauru.htm
Osmia bicolor,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-obico.htm
Osmia bicornis,12,24,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-orufa.htm
Osmia brevicornis,4,6,Polylectic,Oligolectic,Polylectic,Brassicaceae,,https://www.wildbienen.de/eb-obrev.htm
Osmia caerulescens,3,5,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-ocaer.htm
Osmia cornuta,14,20,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-ocorn.htm
Oxythyrea funesta,13,18,Polylectic,Polylectic,Polylectic,,,From_data
Paragus constrictus,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Phasia barbifrons,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Phasia pusilla,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Philanthus triangulum,3,4,Polylectic,Polylectic,Polylectic,,,From_data
Physocephala rufipes,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Pieris brassicae,2,2,Polylectic,Polylectic,Polylectic,,,https://species.biodiversityireland.ie/profile.php?taxonId=77336
Pieris napi,10,12,Polylectic,Polylectic,Polylectic,,,From_data
Pieris rapae,11,19,Polylectic,Polylectic,Polylectic,,,From_data
Platystoma seminationis,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Polistes dominula,7,11,Polylectic,Polylectic,Polylectic,,,From_data
Pollenia amentaria,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Pollenia pediculata,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Pollenia vagabunda,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Polygonia c-album,2,3,Polylectic,Polylectic,Polylectic,,,From_data
Polyommatus icarus,5,8,Polylectic,Polylectic,Polylectic,,,From_data
Prosena siberita,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Pseudovadonia livida,9,10,Polylectic,Polylectic,Polylectic,,,From_data
Pyrrhocoris apterus,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Pyrrhocoris marginatus,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Sapygina decemguttata,1,1,Oligolectic,Oligolectic,Oligolectic,Asteraceae,,https://www.wildbienen.de/wbi-p971.htm
Sarcophaga haemorrhoa,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Sarcophaga incisilobata,3,3,Polylectic,Polylectic,Polylectic,,,From_data
Sarcophaga subvicina,3,5,Polylectic,Polylectic,Polylectic,,,From_data
Scaeva pyrastri,6,6,Polylectic,Polylectic,Polylectic,,,From_data
Scolia hirta,5,6,Polylectic,Polylectic,Polylectic,,,From_data
Sicus ferrugineus,3,4,Polylectic,Polylectic,Polylectic,,,From_data
Sphaerophoria rueppellii,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Sphaerophoria scripta,17,39,Polylectic,Polylectic,Polylectic,,,From_data
Sphecodes albilabris,6,10,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-salbi.htm
Sphecodes ferruginatus,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Sphecodes monilicornis,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Sphecodes pellucidus,2,2,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-spell.htm
Sphecodes puncticeps,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Sphex funerarius,4,6,Polylectic,Polylectic,Polylectic,,,From_data
Stelis punctulatissima,2,2,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-spunc.htm
Stenurella melanura,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Syritta pipiens,5,8,Polylectic,Polylectic,Polylectic,,,From_data
Syrphus vitripennis,8,11,Polylectic,Polylectic,Polylectic,,,From_data
Tachina fera,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Tachina nupta,2,2,Polylectic,Polylectic,Polylectic,,,From_data
Thyreus orbatus,1,1,Oligolectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-torba.htm
Timarcha goettingensis,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Tiphia femorata,1,3,Oligolectic,Polylectic,Polylectic,,,From_data
Trichius gallicus,2,3,Polylectic,Polylectic,Polylectic,,,From_data
Trichodes apiarius,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Trichopsomyia flavitarsis,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Tropinota hirta,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Valgus hemipterus,4,5,Polylectic,Polylectic,Polylectic,,,From_data
Vespa crabro,4,4,Polylectic,Polylectic,Polylectic,,,From_data
Vespula germanica,7,9,Polylectic,Polylectic,Polylectic,,,From_data
Villa modesta,1,3,Oligolectic,Polylectic,Polylectic,,,From_data
Volucella inanis,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Volucella pellucens,1,1,Oligolectic,Polylectic,Polylectic,,,From_data
Volucella zonaria,9,13,Polylectic,Polylectic,Polylectic,,,From_data
Xylocopa violacea,20,45,Polylectic,Polylectic,Polylectic,,,https://www.wildbienen.de/eb-xviol.htm